Id,Label
535,Jumia Food
337,Alberto Chicote
0,Lee Anne Wong
30,Nando's PERi-PERi
213,Nando's
207,Paul Qui
532,McDonald's
234,"Subway, Cayman Islands"
615,Chef Aaron McCargo Jr
350,Chef Carla Hall
169,Gary Mehigan
159,Leslie Gilliams
456,Cook with Amber
342,Sang Yoon
555,KFC
491,McDonald's República Dominicana
48,McDonald's
593,Chef Richard Sandoval
497,Jumia Food
450,Christian Bau
486,Jumia Food
85,McDonald's
572,McDonald's
482,Aliya LeeKong
525,Taco Bell Kuwait
488,McDonald's
361,Chef Ben Ford
286,Taste of London
299,Cristian D'Elia
517,Guillaume Gomez
458,Christine Ha
70,Chef Daniel Boulud
46,Per Se
333,Niko Romito
257,Marc Forgione
443,Noëmie Honiat Top Chef
417,Princi
237,Domino's Pizza
412,Papacho's
128,Hugh Acheson
327,McDonald's
548,Dunkin' Donuts
609,Domino's Pizza
612,McDonald's
6,Jumia Food
146,Alex Atala
582,RIBS - True American Barbecue
523,Burger King Malaysia
208,Chef Sue Zemanick
3,Chef Carlo Cracco
179,McDonald's
173,Chili's Beirut
312,Duff Goldman
263,Domino's Guatemala
498,Dani García
108,Nando's
241,Taco Bell India
561,Brew Bistro and Lounge
549,Maneet Chauhan
254,Mei Lin
418,Chetna Makan
121,Simon Gault
288,Tom Colicchio
116,Chef David Burke
53,Chef Cynthia Louise
196,Eddie V's Prime Seafood
107,Daniel Humm
187,Delverde
502,Nando's
90,Scott Conant
604,Chef Jamie DeRosa
66,Emmi CAFFÈ LATTE
281,Cindy Pawlcyn
421,McDonald's
296,KFC
376,Pierre Gagnaire
305,Outback Steakhouse
40,Chef Hirohiko Shoda
436,Chef Andrew Gruel
439,Donatella Arpaia
605,foodpanda
23,Dean Fearing
275,Chef Charlie Palmer
467,KFC
461,Emmi CAFFÈ LATTE
551,McDonald's
584,Julia Child
87,Geoffrey Zakarian
552,YANNICK ALLENO OFFICIEL
253,Narda Lepes
474,Quique Dacosta
45,McDonald's
268,Tom Douglas Restaurants
279,Nando's
197,Johnny Prep
401,Mathieu Pacaud
185,Mirko Ronzoni
80,Anjali Pathak
402,Second Floor Cafe 貳樓餐飲
302,Chef G. Garvin
332,KFC
557,Chef Maeve Rochford
166,Manjula's Kitchen - Indian Vegetarian Recipes
323,Enrique Olvera
388,Valentin Neraudeau
145,Taco Bell UK
540,Chevys Fresh Mex
250,Nyesha Arrington
96,Luna Grill
373,Chef Nina Compton
123,McDonald's
437,Big Fish Seafood Bistro
219,Dunkin' Donuts
613,Domino's Pizza
575,Chef Rubio
510,Stephanie Izard
559,KFC
581,Kevin Dundon
423,KFC
610,Eduardo Palazuelos
152,Domino's Pizza
413,Harlem EatUp
205,Gavin Kaysen
380,Taco Bell Rep Dom
272,Francesco Sole
142,McDonald's
269,Raymond Blanc
289,Michel Nischan
65,Cuoco Filippo La Mantia
364,Colin Fassnidge
345,Chuck Hughes
102,Amy Thielen
519,Thierry Rautureau
363,Jean-François Piège     -      Page Officielle
614,Chef Diego Lozano
317,Jacques Pépin
563,Donato De Santis
104,Juliana Lopez May
586,McDonald's
611,Robin Miller
180,Cadillac Bar Houston
479,Chef Derrick Fox
28,Nando's
515,McDonald's
84,Domino's Mx
68,Dan Kluger
112,Chef Ana Paula
556,Dunkin' Donuts
264,Taco Bell
550,Bryce Shuman
587,Eva Arguiñano
210,Gandy Dancer
297,McDonald's
251,Alex French Guy Cooking
266,Magnum
217,Marcus Samuelsson
499,Tom's Kitchen
487,McDonald's
26,foodpanda
326,Dairy Queen
569,Roxanne Spruance
301,hellofood
127,McDonald's
359,Hearth
603,Elizabeth Karmel
321,Eddie Jackson - FIT CHEF EDDIE
598,KFC
565,KFC
618,Subway
59,Douglas Keane
574,Emmi CAFFÈ LATTE
524,McDonald's
88,Martín Berasategui
285,Shane Delia
73,Chili's México
110,Katie Pix
391,Danny Smiles
426,Ranveer Brar
64,Diego Guerrero
357,McDonald's
190,翠華餐廳 Tsui Wah Restaurant
589,Five Guys
75,Domino's Pizza
617,Samin Nosrat
566,McDonald's
129,Morton's The Steakhouse
55,River Crab Blue Water Inn
4,George Pagonis
394,Steve Konopelski
571,Bruno Oteiza
451,Nikki Dinki
446,Virginia Willis
547,Nando's
315,McDonald's
508,McDonald's
607,Chef Alex Levin
348,McDonald's
597,Aarón Sánchez
341,Dan Steph & Emmy
267,Dunkin' Donuts
198,Chef Elizabeth Falkner
17,Ernst Knam
244,Guy Savoy
595,McDonald's Japan
438,Nando's
191,McDonald's
459,Chef Clément
15,Christina Tosi
408,Paul Hollywood
167,Xi'an Famous Foods 西安名吃
141,Emmi CAFFÈ LATTE
513,Lío
93,Guga Rocha
228,Jock Zonfrillo
216,foodpanda - 空腹熊貓
239,Chef Carmen Gonzalez
509,Suzanne Goin
395,McDonald's
184,Food Busker
91,Crepes & Waffles
430,McDonald's
478,Jumia Food
122,Matthew Kenney
351,Ken Oringer
407,Gemma Stafford
113,KFC
120,Buddy Valastro
29,Bahama Breeze Island Grille
400,Domino's Pizza
445,Marcel Vigneron
200,Krispy Kreme UK
300,Kunal Kapur
83,Gregory Gourdet
2,Ben Sargent & Dr. Klaw
119,Domino's Pizza
506,Martha Collison
225,Francis Mallmann
60,Cat Cora
514,"Mary Nolan, Bon Appétit Executive Chef"
182,Bobby Flay
368,Taste Of Paris Official
118,McDonald's
490,RED Sushi and Hibachi Grill
369,Chili's Qatar
331,Bubba Gump Shrimp Co.
238,Seamus Mullen
206,Blue Ribbon Fried Chicken
546,McDonald's
294,Famous Dave's Bar-B-Que of America
101,達美樂披薩
58,Chef Jamie Gwen
175,Chef Marcela Valladolid
596,McDonald's
277,Chef Rick Tramonto
406,Chef Todd Mohr
233,Franklin Barbecue
135,Spago Las Vegas
245,Ludo Lefebvre
143,Donal Skehan
600,Anis Nabilah
287,Magnum
466,KFC
536,Bradley Ogden
383,Chef Michael Ferraro
427,Jumia Food
130,Tim Love
16,Domino's Pizza
109,Audra Morrice
89,Chef Kent Graham
232,Santiago Giorgini
560,CAKE-BOY
192,Carl's Jr. NZ
172,Rachel Allen
470,Pierre Sang Boyer Officiel
316,McDonald's
328,McDonald's
133,Lindsay Ann Bakes
151,Anne Burrell
390,Chope
475,Steak 'n Shake
384,Chef Michael Smith
347,McDonald's
81,Maru Botana
178,Red Lobster México
619,KFC
367,FONDA MEXICANA
221,Chef Jennifer Carroll
330,Jimmy John's
195,Vegan Black Metal Chef
69,Celler de Can Roca
385,Juan Mari Arzak (Página oficial)
131,Dining with Flynn
100,McDonald's
222,KFC
378,Chef Adrianne
522,KFC
558,Chef Rick Moonen
74,foodpanda
249,Dunkin' Donuts
471,foodpanda
147,Nando's
260,Chef Dana Cohen HK
507,McDonald's
259,Taco Bell El Salvador
98,foodpanda
132,Madison Cowan
77,Puesto
111,Justin Warner
13,Eckart Witzigmann
397,My Cupcake Addiction
41,Matt Moran
592,Frantzén
415,KFC
318,Telepizza Guatemala
161,Jehangir
372,Johnny Iuzzini
493,Pedro Lambertini
307,McDonald's
455,Dale Talde
262,Amandine Chaignot
432,Graham Elliot
585,McDonald's
399,Skinny Chef
177,Chef Rusty Hamlin
545,Domino's Pizza
39,Chef Mary Sue Milliken
420,Delverde
377,Alessandro Borghese
229,Chef Jet Tila
223,Grotto
441,Domino's Pizza
38,McDonald's
512,Seasons 52
590,Norbert Tarayre
553,Chef Jimmy Boswell
256,McDonald's Paraguay
530,Relais & Châteaux
442,Four Seasons Hotels and Resorts
32,Sanjeev Kapoor
50,Chef Billy Parisi
36,Ravintola Salve
271,Claire Robinson
526,Paul Bocuse
314,UMass Dining
353,Domino's Pizza Nigeria
243,Chef Brian Duffy
298,Barbie Marshall
27,McDonald's Vietnam
44,Kirti Bhoutika
457,McDonald's
422,DedeMed
531,Spike Mendelsohn
564,Outlander Kitchen
227,Wolfgang Puck
37,Russell Jackson
577,D'O - Davide Oldani
398,KFC
54,Chef Casey Thompson
124,도미노피자(Dominostory)
602,McDonald's
12,Dunkin' Donuts
181,Bruno Ménard
338,Dean Sheremet
389,Emily Ellyn
203,Hakim Chajar
528,'Wichcraft
346,Gino D'Acampo
410,Noma
352,Alain Ducasse
76,Texas Roadhouse
265,Logan Junior Chef
516,Domino's Pizza
186,MASAの料理ABC
8,Chili's Grill & Bar
31,McDonald's
280,Emmi CAFFÈ LATTE
306,Nando's
580,Josh Elkin
319,KFC
79,McDonald's
538,Bruno Barbieri
18,NishaMadhulika
476,Christophe Adam
52,KFC
214,Chart House
543,McDonald's
291,Chef Ben Churchill
356,Sonia Peronaci
231,Crystal Jade Palace - JW Marriott Hotel Hanoi
452,Meriwether's
349,Harold Dieterle
274,Domino's Pizza
568,José Santaella
199,McDonald's
360,Monti Carlo
117,Domino's Pizza
174,Taco Bell Guatemala
20,Maria Loi
247,Red Robin Gourmet Burgers
405,Pescaria
501,Nando's
340,Eric Ripert
449,Chef Pete Evans
365,KFC
183,Saransh Goila
425,Crystal Jade Singapore
435,Ricardo Cuisine
43,Roy Choi
95,Burger King Nederland
136,Fabio Viviani
134,Felicitas Pizarro
94,João Alcantara
295,foodpanda
303,Magnum
99,foodpanda
310,Dunkin' Coffee
483,Chick-fil-A
24,Nando's
137,Domino's Pizza
176,foodpanda / hellofood
393,foodpanda
495,Olive Garden México
343,Hubert Keller
489,Five Guys
375,Levi Eirinberg
92,Joanna 劉韋彤
47,Hard Rock Cafe Ibiza
447,Pollo Campero Guatemala
414,麥當勞
22,Delverde
570,Kristen Kish
283,Angelo Sosa
125,KFC
292,McDonald's
72,Relais & Châteaux
404,ChefAlexander
539,Wings
273,Ignacio Mattos
616,John DeLucie
448,McDonald's
354,Los Petersen Cocineros
126,Nando's
469,Germán Martitegui
453,Sam Choy
503,Magnum
139,McDonald's
444,Roy's Restaurant
371,Carl's Jr.
583,Bonefish Grill
311,Domino's Australia
224,Christian Le Squer
71,Olive Garden
57,Taco Bell Careers
403,Christophe Bacquie
431,Hardee's Pakistan
411,Chef Grace Ramirez
49,Yard House
492,Burger King México
115,タコベル ジャパン　Taco Bell Japan
374,JW Café - JW Marriott Hotel Hanoi
162,Cocina familiar con Javier Romero
86,ad hoc & addendum
419,Melissa King
252,Charley's Crab
541,McDonald's
336,Magnum
529,Gaston Acurio
103,Carlos Bertolazzi
278,On The Border
67,David Chang
520,T-rex Cafe
168,Chef Natale Giunta
97,Chef Kiran Jethwa
578,The French Laundry
428,McDonald's
261,Nicko's Kitchen
494,KFC
554,Chef Damaris Phillips
163,Jumia Food
381,Luke Thomas
140,Clodagh McKenna
157,Chef Michelle Bernstein
114,SORTEDfood
